"","et","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"A","Estados Unidos Mexicanos",30601059,NA,13259752,43.3310232825603,NA,13558104,44.3059960768024,NA,3313259,10.8272690824197,NA,469944,1.53571155821764
"1","Localidades con menos de 2500 habitantes",5670031,NA,764994,13.4918839068076,NA,3679366,64.8914617927133,NA,1212854,21.3906061536524,NA,12817,0.22604814682671
"2","Localidades de 2500 o más habitantes",24931028,NA,12494758,50.1172996155634,NA,9878738,39.6242706076942,NA,2100405,8.4248631865481,NA,457127,1.83356659019436
