"","et","X1","X2","X3","X4","X5","X6","X7"
"A","Estados Unidos Mexicanos",33184755,NA,30601059,92.2142080000289,NA,2583696,7.78579199997107
"1","Localidades con menos de 2 500 habitantes",7180067,NA,5670031,78.9690541884916,NA,1510036,21.0309458115084
"2","Localidades de 2500 o más habitantes",26004688,NA,24931028,95.8712829009908,NA,1073660,4.12871709900922
